,id,calling_class,calling_method,called_class,called_method,called_method_args
57,65893076191009,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:foobar<EP>
58,65893076204526,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
59,65893076224062,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:foobar<EP>
60,65893076236329,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--bfile<EP>
61,65893076243739,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--bfile<EP>
62,65893076252188,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
63,65893076264145,org.apache.commons.cli.GnuParser,flatten,org.apache.commons.cli.Options,getOption,<SP>String:--bfile<EP>
64,65893076271734,org.apache.commons.cli.Options,getOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--bfile<EP>
65,65893076279828,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
66,65893076290370,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
67,65893076300437,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:7<EP>
68,65893076313383,org.apache.commons.cli.Options,getOption,java.util.Map,containsKey,<SP>String:bfile<EP>
69,65893076321641,org.apache.commons.cli.Options,getOption,java.util.Map,get,<SP>String:bfile<EP>
70,65893076335550,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:0<NP>Integer:2<EP>
71,65893076343681,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:2<EP>
72,65893076356615,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:--bfile<EP>
73,65893076365077,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:toast<EP>
74,65893076371798,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:toast<EP>
75,65893076380817,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
76,65893076394327,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:toast<EP>
77,65893076404756,org.apache.commons.cli.GnuParser,flatten,java.util.List,size,<SP><EP>
78,65893076415841,org.apache.commons.cli.GnuParser,flatten,java.util.List,toArray,"<SP>String[]:[null, null, null, null]<EP>"
79,65893076438847,org.apache.commons.cli.Parser,parse,java.util.Arrays,asList,"<SP>String[]:[--copt, foobar, --bfile, toast]<EP>"
80,65893076464232,org.apache.commons.cli.Parser,parse,java.util.List,listIterator,<SP><EP>
81,65893076485101,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
82,65893076500645,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
83,65893076517662,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--copt<EP>
84,65893076530979,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--copt<EP>
85,65893076545586,org.apache.commons.cli.Parser,parse,java.lang.String,startsWith,<SP>String:-<EP>
86,65893076558301,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,getOptions,<SP><EP>
87,65893076571716,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Options,hasOption,<SP>String:--copt<EP>
88,65893076578681,org.apache.commons.cli.Options,hasOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--copt<EP>
89,65893076587026,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
90,65893076597939,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
91,65893076611666,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:6<EP>
92,65893076627818,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:copt<EP>
93,65893076640788,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:copt<EP>
94,65893076665347,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,processOption,<SP>String:--copt<NP>ListItr:ListItr@746ff0b8<EP>
95,65893076675062,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
96,65893076689742,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,hasOption,<SP>String:--copt<EP>
97,65893076697667,org.apache.commons.cli.Options,hasOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--copt<EP>
98,65893076705133,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
99,65893076716781,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
100,65893076733408,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:6<EP>
101,65893076750899,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:copt<EP>
102,65893076764728,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:copt<EP>
103,65893076780475,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
104,65893076789395,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,getOption,<SP>String:--copt<EP>
105,65893076795108,org.apache.commons.cli.Options,getOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--copt<EP>
106,65893076800098,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
107,65893076807850,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
108,65893076817759,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:6<EP>
109,65893076828220,org.apache.commons.cli.Options,getOption,java.util.Map,containsKey,<SP>String:copt<EP>
110,65893076835681,org.apache.commons.cli.Options,getOption,java.util.Map,get,<SP>String:copt<EP>
111,65893076846440,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Option,isRequired,<SP><EP>
112,65893076855263,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
113,65893076863764,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,getOptionGroup,<SP>Option:Option@510d09e2<EP>
114,65893076874166,org.apache.commons.cli.Options,getOptionGroup,org.apache.commons.cli.Option,getKey,<SP><EP>
115,65893076883795,org.apache.commons.cli.Options,getOptionGroup,java.util.Map,get,<SP>String:c<EP>
116,65893076893203,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Option,hasArg,<SP><EP>
117,65893076908255,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.CommandLine,addOption,<SP>Option:Option@510d09e2<EP>
118,65893076918258,org.apache.commons.cli.CommandLine,addOption,java.util.Set,add,<SP>Option:Option@510d09e2<EP>
119,65893076927173,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
120,65893076937143,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
121,65893076967291,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
122,65893076977267,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
123,65893076987330,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:foobar<EP>
124,65893076994885,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:foobar<EP>
125,65893077002313,org.apache.commons.cli.Parser,parse,java.lang.String,startsWith,<SP>String:-<EP>
126,65893077010919,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.CommandLine,addArg,<SP>String:foobar<EP>
127,65893077017018,org.apache.commons.cli.CommandLine,addArg,java.util.List,add,<SP>String:foobar<EP>
128,65893077029225,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
129,65893077036865,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
130,65893077045384,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--bfile<EP>
131,65893077052995,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.CommandLine,addArg,<SP>String:--bfile<EP>
132,65893077058386,org.apache.commons.cli.CommandLine,addArg,java.util.List,add,<SP>String:--bfile<EP>
133,65893077067881,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
134,65893077074397,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
135,65893077081897,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:toast<EP>
136,65893077088721,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.CommandLine,addArg,<SP>String:toast<EP>
137,65893077093287,org.apache.commons.cli.CommandLine,addArg,java.util.List,add,<SP>String:toast<EP>
138,65893077102163,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
139,65893077111102,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
140,65893077124339,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,processProperties,<SP>object:null<EP>
141,65893077135248,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,checkRequiredOptions,<SP><EP>
142,65893077142845,org.apache.commons.cli.Parser,checkRequiredOptions,org.apache.commons.cli.Parser,getRequiredOptions,<SP><EP>
143,65893077157456,org.apache.commons.cli.Parser,checkRequiredOptions,java.util.List,size,<SP><EP>
144,65893077253149,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,hasOption,<SP>String:c<EP>
145,65893077279965,org.apache.commons.cli.CommandLine,hasOption,org.apache.commons.cli.CommandLine,resolveOption,<SP>String:c<EP>
146,65893077292269,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:c<EP>
147,65893077301603,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
148,65893077318542,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:-<EP>
149,65893077330551,org.apache.commons.cli.CommandLine,resolveOption,java.util.Set,iterator,<SP><EP>
150,65893077348815,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,hasNext,<SP><EP>
151,65893077356510,org.apache.commons.cli.CommandLine,resolveOption,java.util.Iterator,next,<SP><EP>
152,65893077365047,org.apache.commons.cli.CommandLine,resolveOption,org.apache.commons.cli.Option,getOpt,<SP><EP>
153,65893077381540,org.apache.commons.cli.CommandLine,resolveOption,java.lang.String,equals,<SP>String:c<EP>
154,65893077396063,org.apache.commons.cli.CommandLine,hasOption,java.util.Set,contains,<SP>Option:Option@510d09e2<EP>
155,65893077402287,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
156,65893077411228,org.apache.commons.cli.Option,hashCode,java.lang.String,hashCode,<SP><EP>
157,65893077496943,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,append,<SP>String:Confirm  3 extra args: <EP>
158,65893077524177,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgList,<SP><EP>
159,65893077554902,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.util.List,size,<SP><EP>
160,65893077593447,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,append,<SP>Integer:3<EP>
161,65893077619805,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.lang.StringBuilder,toString,<SP><EP>
162,65893077644191,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgList,<SP><EP>
163,65893077674255,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,java.util.List,size,<SP><EP>
164,65893077747420,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.CommandLine,getArgs,<SP><EP>
165,65893077779472,org.apache.commons.cli.CommandLine,getArgs,java.util.List,size,<SP><EP>
166,65893077834018,org.apache.commons.cli.CommandLine,getArgs,java.util.List,toArray,"<SP>String[]:[null, null, null]<EP>"
167,65893077888520,org.apache.commons.cli.GnuParseTest,testMultipleWithLong,org.apache.commons.cli.Parser,parse,"<SP>Options:Options@1ac12253<NP>String[]:[foobar, --bfile, toast]<EP>"
168,65893077908775,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,parse,"<SP>Options:Options@1ac12253<NP>String[]:[foobar, --bfile, toast]<NP>object:null<NP>Boolean:false<EP>"
169,65893077920033,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Options,helpOptions,<SP><EP>
170,65893077928611,org.apache.commons.cli.Options,helpOptions,java.util.Map,values,<SP><EP>
171,65893077955942,org.apache.commons.cli.Options,helpOptions,java.util.Map,values,<SP><EP>
172,65893077971312,org.apache.commons.cli.Options,helpOptions,java.util.Collection,iterator,<SP><EP>
173,65893077984909,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
174,65893077996623,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,next,<SP><EP>
175,65893078010425,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@6984476d<EP>
176,65893078022866,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
177,65893078033883,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,next,<SP><EP>
178,65893078046530,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@469c42d6<EP>
179,65893078060040,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
180,65893078078087,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
181,65893078094269,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:a<EP>
182,65893078113285,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
183,65893078125451,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,next,<SP><EP>
184,65893078139207,org.apache.commons.cli.Options,helpOptions,java.util.List,contains,<SP>Option:Option@510d09e2<EP>
185,65893078146847,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
186,65893078162486,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
187,65893078177535,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:a<EP>
188,65893078192094,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
189,65893078203095,org.apache.commons.cli.Option,equals,java.lang.Object,getClass,<SP><EP>
190,65893078215806,org.apache.commons.cli.Option,equals,java.lang.String,equals,<SP>String:b<EP>
191,65893078249412,org.apache.commons.cli.Options,helpOptions,java.util.Iterator,hasNext,<SP><EP>
192,65893078273916,org.apache.commons.cli.Parser,parse,java.util.List,iterator,<SP><EP>
193,65893078292830,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
194,65893078304004,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
195,65893078314681,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
196,65893078322539,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
197,65893078337112,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
198,65893078347126,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
199,65893078358208,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
200,65893078364938,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
201,65893078378735,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
202,65893078387525,org.apache.commons.cli.Parser,parse,java.util.Iterator,next,<SP><EP>
203,65893078393968,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Option,clearValues,<SP><EP>
204,65893078398096,org.apache.commons.cli.Option,clearValues,java.util.ArrayList,clear,<SP><EP>
205,65893078408326,org.apache.commons.cli.Parser,parse,java.util.Iterator,hasNext,<SP><EP>
206,65893078416751,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,setOptions,<SP>Options:Options@1ac12253<EP>
207,65893078422141,org.apache.commons.cli.Parser,setOptions,org.apache.commons.cli.Options,getRequiredOptions,<SP><EP>
208,65893078434764,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,getOptions,<SP><EP>
209,65893078449127,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,flatten,"<SP>Options:Options@1ac12253<NP>String[]:[foobar, --bfile, toast]<NP>Boolean:false<EP>"
210,65893078456650,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:foobar<EP>
211,65893078465456,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:foobar<EP>
212,65893078472825,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
213,65893078482307,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:foobar<EP>
214,65893078490446,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--bfile<EP>
215,65893078497035,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:--bfile<EP>
216,65893078503498,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
217,65893078515779,org.apache.commons.cli.GnuParser,flatten,org.apache.commons.cli.Options,getOption,<SP>String:--bfile<EP>
218,65893078522057,org.apache.commons.cli.Options,getOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--bfile<EP>
219,65893078528378,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
220,65893078537423,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
221,65893078549844,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:7<EP>
222,65893078561145,org.apache.commons.cli.Options,getOption,java.util.Map,containsKey,<SP>String:bfile<EP>
223,65893078569573,org.apache.commons.cli.Options,getOption,java.util.Map,get,<SP>String:bfile<EP>
224,65893078582607,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:0<NP>Integer:2<EP>
225,65893078591852,org.apache.commons.cli.GnuParser,flatten,java.lang.String,substring,<SP>Integer:2<EP>
226,65893078599358,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:--bfile<EP>
227,65893078607445,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:toast<EP>
228,65893078618598,org.apache.commons.cli.GnuParser,flatten,java.lang.String,equals,<SP>String:toast<EP>
229,65893078627475,org.apache.commons.cli.GnuParser,flatten,java.lang.String,startsWith,<SP>String:-<EP>
230,65893078634781,org.apache.commons.cli.GnuParser,flatten,java.util.List,add,<SP>String:toast<EP>
231,65893078643166,org.apache.commons.cli.GnuParser,flatten,java.util.List,size,<SP><EP>
232,65893078653481,org.apache.commons.cli.GnuParser,flatten,java.util.List,toArray,"<SP>String[]:[null, null, null]<EP>"
233,65893078675069,org.apache.commons.cli.Parser,parse,java.util.Arrays,asList,"<SP>String[]:[foobar, --bfile, toast]<EP>"
234,65893078692202,org.apache.commons.cli.Parser,parse,java.util.List,listIterator,<SP><EP>
235,65893078705155,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
236,65893078713521,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
237,65893078721613,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:foobar<EP>
238,65893078729439,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:foobar<EP>
239,65893078736544,org.apache.commons.cli.Parser,parse,java.lang.String,startsWith,<SP>String:-<EP>
240,65893078744126,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.CommandLine,addArg,<SP>String:foobar<EP>
241,65893078749386,org.apache.commons.cli.CommandLine,addArg,java.util.List,add,<SP>String:foobar<EP>
242,65893078759756,org.apache.commons.cli.Parser,parse,java.util.ListIterator,hasNext,<SP><EP>
243,65893078766191,org.apache.commons.cli.Parser,parse,java.util.ListIterator,next,<SP><EP>
244,65893078773605,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--bfile<EP>
245,65893078781264,org.apache.commons.cli.Parser,parse,java.lang.String,equals,<SP>String:--bfile<EP>
246,65893078787764,org.apache.commons.cli.Parser,parse,java.lang.String,startsWith,<SP>String:-<EP>
247,65893078797848,org.apache.commons.cli.Parser,parse,org.apache.commons.cli.Parser,processOption,<SP>String:--bfile<NP>ListItr:ListItr@1e88664d<EP>
248,65893078803124,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Parser,getOptions,<SP><EP>
249,65893078812391,org.apache.commons.cli.Parser,processOption,org.apache.commons.cli.Options,hasOption,<SP>String:--bfile<EP>
250,65893078820777,org.apache.commons.cli.Options,hasOption,org.apache.commons.cli.Util,stripLeadingHyphens,<SP>String:--bfile<EP>
251,65893078829245,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,startsWith,<SP>String:--<EP>
252,65893078842527,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,length,<SP><EP>
253,65893078863211,org.apache.commons.cli.Util,stripLeadingHyphens,java.lang.String,substring,<SP>Integer:2<NP>Integer:7<EP>
254,65893078882349,org.apache.commons.cli.Options,hasOption,java.util.Map,containsKey,<SP>String:bfile<EP>
